,Symbol,Contract,Date,Open,High,Low,Close,Volume
0,TX,201601,2016/1/4,8262,8294,8036,8075,380524
4,TX,201602,2016/1/4,8246,8283,8027,8057,4700
8,TX,201601,2016/1/5,8099,8130,8011,8025,323212
12,TX,201602,2016/1/5,8078,8113,7999,8008,6176
16,TX,201601,2016/1/6,8038,8048,7901,7971,399772
20,TX,201602,2016/1/6,8026,8032,7887,7957,6310
25,TX,201601,2016/1/7,7956,7971,7731,7799,492516
29,TX,201602,2016/1/7,7942,7955,7717,7783,7280
33,TX,201601,2016/1/8,7755,7884,7734,7868,364336
37,TX,201602,2016/1/8,7727,7864,7714,7846,6900
41,TX,201601,2016/1/11,7730,7793,7672,7740,369046
46,TX,201602,2016/1/11,7706,7770,7652,7718,10260
50,TX,201601,2016/1/12,7800,7808,7680,7709,351324
55,TX,201602,2016/1/12,7768,7780,7650,7679,8390
59,TX,201601,2016/1/13,7784,7849,7736,7806,375686
64,TX,201602,2016/1/13,7747,7820,7710,7779,10522
69,TX,201601,2016/1/14,7647,7724,7607,7716,340304
74,TX,201602,2016/1/14,7624,7701,7580,7694,16502
79,TX,201601,2016/1/15,7801,7809,7636,7665,359398
84,TX,201602,2016/1/15,7786,7786,7613,7637,17090
88,TX,201601,2016/1/18,7513,7828,7503,7814,463158
93,TX,201602,2016/1/18,7470,7800,7470,7790,44008
98,TX,201601,2016/1/19,7786,7868,7750,7867,312462
103,TX,201602,2016/1/19,7780,7837,7722,7837,56426
108,TX,201601,2016/1/20,7797,7804,7673,7705,227112
112,TX,201602,2016/1/20,7755,7770,7592,7592,225832
119,TX,201602,2016/1/21,7659,7706,7601,7613,404380
124,TX,201603,2016/1/21,7630,7675,7572,7591,3632
129,TX,201602,2016/1/22,7730,7752,7641,7748,366046
132,TX,201603,2016/1/22,7694,7723,7613,7721,3136
137,TX,201602,2016/1/25,7768,7881,7766,7833,291780
142,TX,201603,2016/1/25,7741,7852,7739,7808,3524
146,TX,201602,2016/1/26,7784,7810,7745,7779,289808
150,TX,201603,2016/1/26,7752,7777,7717,7750,3700
154,TX,201602,2016/1/27,7850,7859,7778,7839,291024
159,TX,201603,2016/1/27,7819,7829,7749,7810,4216
163,TX,201602,2016/1/28,7800,7903,7793,7855,306050
168,TX,201603,2016/1/28,7773,7873,7766,7829,4988
172,TX,201602,2016/1/29,7841,8073,7820,8053,471778
177,TX,201603,2016/1/29,7817,8050,7797,8033,10996
181,TX,201602,2016/1/30,8103,8167,8091,8163,136018
185,TX,201603,2016/1/30,8084,8149,8071,8144,4802
189,TX,201602,2016/2/1,8131,8150,8067,8124,302784
193,TX,201603,2016/2/1,8128,8129,8047,8101,8292
197,TX,201602,2016/2/2,8079,8149,8061,8105,264400
200,TX,201603,2016/2/2,8064,8123,8037,8085,6156
204,TX,201602,2016/2/3,8026,8085,7993,8034,312072
208,TX,201603,2016/2/3,8003,8061,7971,8011,13258
212,TX,201602,2016/2/15,7920,8068,7907,8049,241044
217,TX,201603,2016/2/15,7900,8040,7885,8021,25578
222,TX,201602,2016/2/16,8080,8232,8077,8205,286900
227,TX,201603,2016/2/16,8051,8222,8051,8208,62250
232,TX,201602,2016/2/17,8232,8251,8193,8212,138950
236,TX,201603,2016/2/17,8212,8239,8168,8192,138242
243,TX,201603,2016/2/18,8290,8332,8233,8284,244900
248,TX,201604,2016/2/18,8274,8315,8220,8272,2224
252,TX,201603,2016/2/19,8278,8318,8253,8304,186936
255,TX,201604,2016/2/19,8261,8301,8239,8293,1636
259,TX,201603,2016/2/22,8289,8404,8261,8302,281086
264,TX,201604,2016/2/22,8281,8389,8250,8285,2654
268,TX,201603,2016/2/23,8321,8331,8271,8318,217312
272,TX,201604,2016/2/23,8310,8315,8258,8305,2614
276,TX,201603,2016/2/24,8300,8382,8216,8248,324524
279,TX,201604,2016/2/24,8287,8366,8199,8230,3362
283,TX,201603,2016/2/25,8287,8375,8271,8337,293280
288,TX,201604,2016/2/25,8261,8356,8255,8319,3956
292,TX,201603,2016/2/26,8390,8416,8311,8391,277082
296,TX,201604,2016/2/26,8365,8396,8293,8371,3262
301,TX,201603,2016/3/1,8372,8484,8360,8448,271332
306,TX,201604,2016/3/1,8348,8467,8345,8430,4002
310,TX,201603,2016/3/2,8540,8575,8500,8517,260948
315,TX,201604,2016/3/2,8531,8560,8486,8502,3774
319,TX,201603,2016/3/3,8530,8606,8517,8566,266862
323,TX,201604,2016/3/3,8511,8586,8502,8547,4718
327,TX,201603,2016/3/4,8570,8618,8548,8602,249246
330,TX,201604,2016/3/4,8554,8598,8531,8584,3528
334,TX,201603,2016/3/7,8605,8685,8573,8605,254082
339,TX,201604,2016/3/7,8589,8661,8550,8578,4992
344,TX,201603,2016/3/8,8611,8620,8525,8614,271730
349,TX,201604,2016/3/8,8591,8592,8500,8588,5902
353,TX,201603,2016/3/9,8613,8632,8555,8620,232454
358,TX,201604,2016/3/9,8580,8605,8530,8598,5958
362,TX,201603,2016/3/10,8629,8676,8601,8641,234424
