Date,Price
2016/1/20,7704
2016/2/17,8212
2016/3/16,8691
2016/4/20,8519
2016/5/18,8149
2016/6/15,8602
2016/7/20,9003
2016/8/17,9121
2016/9/21,9221
2016/10/19,9280
2016/11/16,8984
2016/12/21,9232
2017/1/18,9340
2017/2/15,9799
2017/3/15,9733
2017/4/19,9639
2017/5/17,10000
2017/6/21,10369
2017/7/19,10500
2017/8/16,10254
2017/9/20,10510
2017/10/18,10728
2017/11/15,10638
2017/12/20,10497
2018/1/17,11020
2018/2/21,10705
2018/3/21,11045
2018/4/18,10846
2018/5/16,10872
2018/6/20,10936
2018/7/18,10844
2018/8/15,10737
2018/9/19,10872
2018/10/17,9994
2018/11/21,9743
2018/12/19,9768
