,Strike Price,Date,Open,High,Low,Close,Volume
0,10000,2016-01-04,0.5,0.5,0.5,0.5,42.0
1,6800,2016-01-04,1340.0,1340.0,1340.0,1340.0,2.0
2,7500,2016-01-04,680.0,680.0,680.0,680.0,2.0
3,7600,2016-01-04,500.0,525.0,500.0,525.0,50.0
4,7700,2016-01-04,535.0,535.0,430.0,430.0,64.0
5,7800,2016-01-04,515.0,520.0,337.0,350.0,922.0
6,7900,2016-01-04,360.0,360.0,270.0,276.0,470.0
7,8000,2016-01-04,337.0,359.0,203.0,210.0,5842.0
8,8100,2016-01-04,268.0,289.0,142.0,147.0,14434.0
9,8200,2016-01-04,197.0,218.0,94.0,96.0,28790.0
10,8300,2016-01-04,138.0,156.0,57.0,58.0,45504.0
11,8400,2016-01-04,89.0,104.0,30.5,31.5,56554.0
12,8500,2016-01-04,53.0,64.0,13.5,13.5,63900.0
13,8600,2016-01-04,30.0,35.5,6.6,6.6,64114.0
14,8700,2016-01-04,14.0,17.0,3.0,3.3,58172.0
15,8800,2016-01-04,6.5,7.3,1.2,2.6,35218.0
16,8900,2016-01-04,2.5,3.0,0.9,1.4,12412.0
17,9000,2016-01-04,1.3,1.4,0.7,1.1,9046.0
18,9100,2016-01-04,0.6,0.9,0.4,0.9,1022.0
19,9200,2016-01-04,0.4,0.8,0.2,0.7,1348.0
20,9300,2016-01-04,0.3,0.5,0.2,0.5,570.0
21,9400,2016-01-04,0.3,0.5,0.3,0.5,402.0
22,9500,2016-01-04,0.2,0.5,0.2,0.5,362.0
23,9600,2016-01-04,0.5,0.5,0.2,0.5,282.0
24,9700,2016-01-04,0.5,0.5,0.2,0.5,152.0
25,9800,2016-01-04,0.3,0.5,0.2,0.5,166.0
26,9900,2016-01-04,0.3,0.5,0.2,0.5,136.0
27,6800,2016-01-05,1280.0,1280.0,1280.0,1280.0,2.0
28,7500,2016-01-05,555.0,555.0,555.0,555.0,2.0
29,7600,2016-01-05,525.0,550.0,477.0,477.0,60.0
30,7700,2016-01-05,440.0,451.0,387.0,388.0,78.0
31,7800,2016-01-05,355.0,385.0,309.0,311.0,112.0
32,7900,2016-01-05,278.0,305.0,238.0,243.0,3716.0
33,8000,2016-01-05,210.0,235.0,174.0,180.0,9416.0
34,8100,2016-01-05,147.0,168.0,118.0,124.0,16970.0
35,8200,2016-01-05,100.0,112.0,75.0,80.0,18466.0
36,8300,2016-01-05,55.0,68.0,43.0,46.0,40804.0
37,8400,2016-01-05,30.0,36.5,22.5,25.0,34522.0
38,8500,2016-01-05,14.0,17.0,10.5,12.0,31228.0
39,8600,2016-01-05,8.0,8.0,5.4,6.5,19808.0
40,8700,2016-01-05,3.3,3.9,3.0,3.9,11906.0
41,8800,2016-01-05,2.5,3.3,1.9,3.1,16022.0
42,8900,2016-01-05,0.5,2.0,0.5,1.8,3418.0
43,9000,2016-01-05,1.0,1.5,0.9,1.5,2932.0
44,9100,2016-01-05,0.8,1.1,0.7,1.1,1126.0
45,9200,2016-01-05,0.7,0.9,0.7,0.9,520.0
46,9300,2016-01-05,0.7,0.7,0.4,0.7,276.0
47,9400,2016-01-05,0.4,0.5,0.4,0.5,70.0
48,9500,2016-01-05,0.4,0.5,0.4,0.5,128.0
49,9600,2016-01-05,0.4,0.5,0.4,0.4,328.0
50,9700,2016-01-05,0.3,0.5,0.3,0.5,268.0
51,9800,2016-01-05,0.4,0.5,0.4,0.4,88.0
52,9900,2016-01-05,0.4,0.4,0.4,0.4,40.0
53,7300,2016-01-06,645.0,670.0,630.0,670.0,16.0
54,7400,2016-01-06,555.0,620.0,555.0,620.0,4.0
55,7500,2016-01-06,520.0,530.0,500.0,500.0,100.0
56,7600,2016-01-06,477.0,480.0,378.0,408.0,106.0
57,7700,2016-01-06,394.0,400.0,294.0,333.0,334.0
58,7800,2016-01-06,321.0,321.0,224.0,259.0,2726.0
59,7900,2016-01-06,248.0,250.0,161.0,189.0,12934.0
60,8000,2016-01-06,184.0,186.0,109.0,129.0,27220.0
61,8100,2016-01-06,131.0,131.0,66.0,82.0,37900.0
62,8200,2016-01-06,80.0,83.0,36.0,45.5,51638.0
63,8300,2016-01-06,48.0,48.0,18.0,23.0,52550.0
64,8400,2016-01-06,26.0,26.0,8.1,11.0,58022.0
65,8500,2016-01-06,13.0,13.0,3.3,5.8,38272.0
