,Strike Price,Date,Open,High,Low,Close,Volume
0,7300,2016-01-04,840.0,840.0,810.0,810.0,14.0
1,7500,2016-01-04,700.0,700.0,635.0,640.0,8.0
2,7600,2016-01-04,555.0,580.0,555.0,560.0,64.0
3,7700,2016-01-04,475.0,505.0,474.0,478.0,30.0
4,7800,2016-01-04,500.0,500.0,400.0,404.0,28.0
5,7900,2016-01-04,345.0,359.0,332.0,342.0,26.0
6,8000,2016-01-04,399.0,399.0,271.0,271.0,84.0
7,8100,2016-01-04,286.0,286.0,213.0,215.0,412.0
8,8200,2016-01-04,271.0,275.0,162.0,165.0,1198.0
9,8300,2016-01-04,213.0,213.0,118.0,122.0,1344.0
10,8400,2016-01-04,152.0,165.0,83.0,83.0,4182.0
11,8500,2016-01-04,118.0,120.0,55.0,55.0,3120.0
12,8600,2016-01-04,82.0,85.0,35.0,35.5,5550.0
13,8700,2016-01-04,54.0,55.0,21.5,22.0,1820.0
14,8800,2016-01-04,33.0,34.5,12.0,12.5,2568.0
15,8900,2016-01-04,17.5,19.5,6.8,6.9,2172.0
16,9000,2016-01-04,10.5,10.5,4.4,4.6,736.0
17,9100,2016-01-04,5.7,5.7,2.7,2.7,962.0
18,9200,2016-01-04,3.0,3.2,2.0,2.2,320.0
19,9300,2016-01-04,1.0,1.0,1.0,1.0,2.0
20,9400,2016-01-04,1.4,1.8,1.0,1.8,54.0
21,9500,2016-01-04,1.0,1.0,1.0,1.0,28.0
22,9600,2016-01-04,1.0,1.0,1.0,1.0,6.0
23,9700,2016-01-04,1.0,1.0,1.0,1.0,16.0
24,9800,2016-01-04,1.0,1.0,1.0,1.0,6.0
25,7500,2016-01-05,640.0,640.0,605.0,610.0,10.0
26,7600,2016-01-05,550.0,555.0,520.0,520.0,10.0
27,7700,2016-01-05,488.0,488.0,488.0,488.0,2.0
28,7800,2016-01-05,421.0,421.0,363.0,363.0,4.0
29,7900,2016-01-05,344.0,344.0,316.0,316.0,4.0
30,8000,2016-01-05,280.0,285.0,236.0,243.0,48.0
31,8100,2016-01-05,215.0,228.0,182.0,186.0,492.0
32,8200,2016-01-05,165.0,176.0,136.0,140.0,1116.0
33,8300,2016-01-05,117.0,129.0,96.0,98.0,956.0
34,8400,2016-01-05,83.0,90.0,62.0,67.0,3272.0
35,8500,2016-01-05,54.0,60.0,42.5,44.0,5740.0
36,8600,2016-01-05,32.0,38.0,26.5,28.5,2066.0
37,8700,2016-01-05,23.0,23.0,16.5,16.5,1456.0
38,8800,2016-01-05,10.0,13.5,9.5,9.6,2504.0
39,8900,2016-01-05,7.2,7.2,5.6,5.8,1990.0
40,9000,2016-01-05,3.0,4.0,3.0,3.7,892.0
41,9100,2016-01-05,2.5,8.0,2.5,2.5,604.0
42,9200,2016-01-05,2.1,2.4,1.9,2.1,358.0
43,9300,2016-01-05,1.9,2.0,1.9,2.0,4.0
44,9400,2016-01-05,1.2,2.0,1.2,2.0,26.0
45,9600,2016-01-05,1.0,1.0,1.0,1.0,4.0
46,7400,2016-01-06,635.0,635.0,575.0,595.0,14.0
47,7600,2016-01-06,535.0,535.0,440.0,453.0,16.0
48,7700,2016-01-06,390.0,390.0,361.0,361.0,42.0
49,7800,2016-01-06,370.0,370.0,283.0,319.0,164.0
50,7900,2016-01-06,299.0,299.0,226.0,254.0,510.0
51,8000,2016-01-06,245.0,245.0,170.0,196.0,1022.0
52,8100,2016-01-06,185.0,188.0,126.0,143.0,1620.0
53,8200,2016-01-06,141.0,141.0,89.0,102.0,2054.0
54,8300,2016-01-06,98.0,101.0,61.0,72.0,2780.0
55,8400,2016-01-06,68.0,70.0,39.0,45.0,3716.0
56,8500,2016-01-06,43.5,45.0,23.5,29.0,3146.0
57,8600,2016-01-06,29.0,29.5,15.0,18.0,4178.0
58,8700,2016-01-06,16.5,17.0,9.0,10.5,1822.0
59,8800,2016-01-06,10.0,10.5,5.0,5.8,1888.0
60,8900,2016-01-06,6.2,6.2,3.1,4.0,1014.0
61,9000,2016-01-06,3.8,3.9,2.9,3.0,1832.0
62,9100,2016-01-06,2.5,2.6,2.2,2.2,228.0
63,9200,2016-01-06,2.0,2.1,1.4,1.4,152.0
64,9300,2016-01-06,1.7,1.8,1.7,1.8,36.0
65,9400,2016-01-06,1.6,1.6,1.4,1.5,6.0
66,9500,2016-01-06,1.5,1.5,1.5,1.5,2.0
67,9600,2016-01-06,1.0,1.0,1.0,1.0,24.0
68,9700,2016-01-06,1.0,2.0,1.0,2.0,44.0
69,9800,2016-01-06,1.0,1.0,1.0,1.0,38.0
70,7000,2016-01-07,865.0,865.0,780.0,780.0,4.0
71,7100,2016-01-07,880.0,880.0,880.0,880.0,2.0
72,7300,2016-01-07,590.0,590.0,585.0,585.0,4.0
73,7400,2016-01-07,500.0,500.0,500.0,500.0,4.0
74,7500,2016-01-07,419.0,423.0,378.0,378.0,8.0
75,7600,2016-01-07,427.0,427.0,304.0,324.0,22.0
76,7700,2016-01-07,281.0,298.0,233.0,275.0,102.0
77,7800,2016-01-07,296.0,307.0,184.0,216.0,684.0
78,7900,2016-01-07,238.0,241.0,137.0,163.0,1998.0
79,8000,2016-01-07,181.0,188.0,100.0,120.0,3258.0
