,Strike Price,Date,Open,High,Low,Close,Volume
0,6800,2016-01-04,8.0,19.0,8.0,19.0,1982.0
1,6900,2016-01-04,11.0,24.0,10.5,23.0,652.0
2,7000,2016-01-04,14.0,31.5,14.0,30.0,2170.0
3,7100,2016-01-04,17.5,38.5,17.5,37.0,1020.0
4,7200,2016-01-04,23.0,49.0,23.0,46.0,1722.0
5,7300,2016-01-04,28.0,61.0,28.0,56.0,1028.0
6,7400,2016-01-04,36.5,75.0,36.5,70.0,2018.0
7,7500,2016-01-04,52.0,92.0,46.0,85.0,1986.0
8,7600,2016-01-04,62.0,112.0,58.0,103.0,1328.0
9,7700,2016-01-04,71.0,138.0,71.0,127.0,1252.0
10,7800,2016-01-04,91.0,166.0,88.0,153.0,1520.0
11,7900,2016-01-04,112.0,202.0,110.0,183.0,954.0
12,8000,2016-01-04,138.0,242.0,132.0,217.0,1972.0
13,8100,2016-01-04,167.0,280.0,162.0,260.0,284.0
14,8200,2016-01-04,200.0,330.0,200.0,310.0,2284.0
15,8300,2016-01-04,243.0,399.0,243.0,369.0,156.0
16,8400,2016-01-04,296.0,463.0,286.0,432.0,366.0
17,8500,2016-01-04,425.0,505.0,425.0,500.0,8.0
18,8600,2016-01-04,500.0,530.0,500.0,530.0,4.0
19,8900,2016-01-04,735.0,735.0,735.0,735.0,8.0
20,6800,2016-01-05,16.5,20.0,14.0,18.5,818.0
21,6900,2016-01-05,23.0,25.0,16.5,22.5,502.0
22,7000,2016-01-05,29.5,32.0,22.0,29.5,1020.0
23,7100,2016-01-05,34.5,38.5,28.0,38.5,422.0
24,7200,2016-01-05,45.0,50.0,34.5,45.5,1050.0
25,7300,2016-01-05,48.5,59.0,43.5,56.0,882.0
26,7400,2016-01-05,71.0,75.0,53.0,70.0,1174.0
27,7500,2016-01-05,88.0,91.0,66.0,87.0,2054.0
28,7600,2016-01-05,101.0,110.0,81.0,110.0,1350.0
29,7700,2016-01-05,128.0,134.0,100.0,129.0,2392.0
30,7800,2016-01-05,120.0,162.0,120.0,156.0,3696.0
31,7900,2016-01-05,180.0,194.0,150.0,191.0,830.0
32,8000,2016-01-05,221.0,235.0,179.0,232.0,680.0
33,8100,2016-01-05,257.0,281.0,220.0,273.0,372.0
34,8200,2016-01-05,298.0,334.0,265.0,325.0,310.0
35,8300,2016-01-05,352.0,397.0,316.0,397.0,164.0
36,8400,2016-01-05,424.0,465.0,384.0,457.0,278.0
37,8500,2016-01-05,471.0,520.0,471.0,520.0,10.0
38,6800,2016-01-06,17.5,23.5,16.5,18.0,2218.0
39,6900,2016-01-06,20.5,29.0,20.0,22.0,898.0
40,7000,2016-01-06,26.5,36.5,26.0,27.5,1330.0
41,7100,2016-01-06,33.0,46.0,32.5,35.5,810.0
42,7200,2016-01-06,42.0,57.0,40.5,44.5,856.0
43,7300,2016-01-06,53.0,71.0,51.0,56.0,1286.0
44,7400,2016-01-06,65.0,88.0,63.0,70.0,1906.0
45,7500,2016-01-06,84.0,109.0,78.0,87.0,2674.0
46,7600,2016-01-06,99.0,134.0,97.0,107.0,2474.0
47,7700,2016-01-06,123.0,162.0,118.0,132.0,1152.0
48,7800,2016-01-06,151.0,197.0,146.0,160.0,2084.0
49,7900,2016-01-06,184.0,239.0,176.0,199.0,1204.0
50,8000,2016-01-06,220.0,280.0,214.0,240.0,1704.0
51,8100,2016-01-06,262.0,335.0,259.0,290.0,726.0
52,8200,2016-01-06,317.0,400.0,317.0,350.0,378.0
53,8300,2016-01-06,404.0,466.0,390.0,425.0,56.0
54,8400,2016-01-06,505.0,550.0,468.0,505.0,162.0
55,8500,2016-01-06,580.0,600.0,580.0,580.0,10.0
56,8600,2016-01-06,650.0,650.0,650.0,650.0,2.0
57,6700,2016-01-07,13.0,24.0,12.0,21.0,3336.0
58,6800,2016-01-07,18.5,30.5,16.5,27.0,3280.0
59,6900,2016-01-07,21.0,38.0,20.5,32.0,1166.0
60,7000,2016-01-07,30.0,48.5,26.5,43.0,3364.0
61,7100,2016-01-07,35.5,61.0,33.5,51.0,934.0
62,7200,2016-01-07,48.0,77.0,43.0,65.0,5548.0
63,7300,2016-01-07,59.0,96.0,53.0,81.0,2928.0
64,7400,2016-01-07,70.0,118.0,67.0,103.0,3408.0
65,7500,2016-01-07,87.0,146.0,84.0,127.0,2418.0
66,7600,2016-01-07,107.0,177.0,103.0,154.0,2766.0
67,7700,2016-01-07,141.0,220.0,128.0,189.0,3536.0
68,7800,2016-01-07,158.0,257.0,158.0,230.0,4524.0
69,7900,2016-01-07,206.0,317.0,194.0,275.0,1376.0
70,8000,2016-01-07,255.0,382.0,231.0,335.0,924.0
71,8100,2016-01-07,302.0,435.0,291.0,400.0,434.0
72,8200,2016-01-07,353.0,510.0,353.0,469.0,154.0
73,8300,2016-01-07,290.0,580.0,290.0,540.0,48.0
74,8400,2016-01-07,499.0,700.0,499.0,625.0,80.0
75,8500,2016-01-07,695.0,780.0,675.0,770.0,22.0
76,8600,2016-01-07,800.0,860.0,800.0,825.0,28.0
77,8900,2016-01-07,1130.0,1130.0,1130.0,1130.0,40.0
78,6600,2016-01-08,19.5,22.5,13.0,14.5,1006.0
79,6700,2016-01-08,25.0,27.5,15.0,18.5,1774.0
80,6800,2016-01-08,30.5,34.0,21.0,21.5,1232.0
